epoch,AUC,accuracy,binary_accuracy,loss,precision,recall,val_AUC,val_accuracy,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.47535020112991333,0.6000000238418579,0.6000000238418579,0.871425211429596,0.2532467544078827,0.29104477167129517,0.0,0.0,0.0,0.7720454335212708,0.0,0.0
1,0.6174943447113037,0.7257142663002014,0.7257142663002014,0.5667815804481506,0.3684210479259491,0.10447761416435242,0.0,0.0,0.0,1.0311511754989624,0.0,0.0
2,0.7933446764945984,0.7580952644348145,0.7580952644348145,0.4551045894622803,0.6129032373428345,0.14179104566574097,0.0,0.0,0.0,1.3177591562271118,0.0,0.0
3,0.8793469071388245,0.807619035243988,0.807619035243988,0.387317419052124,0.7260273694992065,0.3955223858356476,0.0,0.02654867246747017,0.02654867246747017,1.5392457246780396,1.0,0.02654867246747017
4,0.9262797236442566,0.8247619271278381,0.8247619271278381,0.3146562874317169,0.7837837934494019,0.43283581733703613,0.0,0.3495575189590454,0.3495575189590454,1.2285892963409424,1.0,0.3495575189590454
5,0.9366244077682495,0.8514285683631897,0.8514285683631897,0.2864799499511719,0.7857142686843872,0.5746268630027771,0.0,0.4115044176578522,0.4115044176578522,1.0761849880218506,1.0,0.4115044176578522
6,0.9477516412734985,0.868571400642395,0.868571400642395,0.2700391113758087,0.8494623899459839,0.5895522236824036,0.0,0.5796459913253784,0.5796459913253784,0.8323724269866943,1.0,0.5796459913253784
7,0.9692330360412598,0.8819047808647156,0.8819047808647156,0.21791775524616241,0.875,0.6268656849861145,0.0,0.6681416034698486,0.6681416034698486,0.7916625142097473,1.0,0.6681416034698486
8,0.9639462232589722,0.9028571248054504,0.9028571248054504,0.2220628410577774,0.8320000171661377,0.7761194109916687,0.0,0.389380544424057,0.389380544424057,1.2148234844207764,1.0,0.389380544424057
9,0.9660744071006775,0.9085714221000671,0.9085714221000671,0.20707708597183228,0.8208954930305481,0.8208954930305481,0.0,0.6504424810409546,0.6504424810409546,0.9464412331581116,1.0,0.6504424810409546
10,0.9787761569023132,0.9314285516738892,0.9314285516738892,0.1648208647966385,0.8828125,0.8432835936546326,0.0,0.6061946749687195,0.6061946749687195,1.0687851905822754,1.0,0.6061946749687195
